4564212454875369~08/24~abdo salm~2400.500000~running~
1234578654155777~09/26~mohamed hassan~4500.000000~running~
1457621101020124~10/27~hassan mahfouz~3000.000000~running~
4792012540235105~01/28~diana mohsen~1000.000000~running~
4510335112540726~05/26~mohab ahmed~20000.000000~running~
4584120013215093~04/24~sarah ali~150000.000000~running~
1201236540060338~02/25~ahmed khaled~30000.000000~running~
4584263511200092~08/23~zeinb abdelkarim~1000.000000~running~
2015451021540726~12/22~abdullah ali~500.000000~running~
3211454542100552~01/24~mohamed salama~250.000000~running~
1215454234540726~05/29~Mina samy~6250.000000~running~
1200154841200092~08/25~peter atef~320.000000~running~
1064877811015013~09/24~osman fayez~4100.000000~blocked~
4578100145415073~12/23~hany abdelkarim~12000.000000~running~
8710264541020124~01/28~ibrahim khalefa~3200.000000~running~
1323454101440286~03/30~basma salem~185.000000~blocked~
7861210124540726~04/30~salah hassan~449992.500000~running~
5611014542180980~06/25~morad fathy~2500150.000000~blocked~
6574102454660378~09/26~ahmed alaa~820.000000~running~
4510685864120664~07/23~atta mohamoud~2962.500000~blocked~
